Сұрақ,Орташа балл (ā),Ауытқу (σ),SEM,95% Сенім аралығы,t-статистика,p-мәні,Норм. салмақ (ŵ)
№1,3.643,1.096,0.076,[3.493; 3.792],8.43,< 0.001 (***),0.6606
№2,3.614,1.064,0.074,[3.469; 3.758],8.3,< 0.001 (***),0.6534
№3,3.7,1.06,0.074,[3.556; 3.845],9.51,< 0.001 (***),0.6751
№4,3.705,1.082,0.075,[3.558; 3.853],9.38,< 0.001 (***),0.6763
№5,3.633,1.093,0.076,[3.484; 3.782],8.33,< 0.001 (***),0.6582
№6,3.599,1.114,0.077,[3.447; 3.751],7.74,< 0.001 (***),0.6498
