Шешкіш,Оңтайландыру режимі,Мәртебесі,Уақыты (с),"Алшақтық (Gap, %)",alpha_1,alpha_2,alpha_3,Мінсіз профильден ауытқу,6-7 сабақтағы күрделі пәндер,Қатар келген ауыр жұптар,Терезелер саны
—,Қолданыстағы кесте,—,0.0,,,,,230.68,6.0,8.0,0.0
CP-SAT,CP-SAT (Салмақтық),OPTIMAL (Оңтайлы),3.7593,0.0,1081.0,100.0,43418.0,4.46,2.0,0.0,0.0
CP-SAT,CP-SAT (Лексикографиялық),OPTIMAL (Оңтайлы),1.8369,0.0,,,,4.46,0.0,12.0,0.0
CBC,MILP (Салмақтық),FEASIBLE (Жарамды),29.8971,44.9635,1081.0,100.0,43418.0,12.92,3.0,0.0,0.0
CBC,MILP (Лексикографиялық),NOT_SOLVED (Шешілмеді),89.5807,,,,,,,,
